Humidity: 47.60 %, Temp: 19.80 Celsius
Humidity: 50.30 %, Temp: 18.90 Celsius
Humidity: 50.30 %, Temp: 18.90 Celsius
Humidity: 50.30 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.80 Celsius
Humidity: 50.40 %, Temp: 18.80 Celsius
Humidity: 50.40 %, Temp: 18.80 Celsius
Humidity: 50.40 %, Temp: 18.80 Celsius
Humidity: 50.50 %, Temp: 18.90 Celsius
Humidity: 50.40 %, Temp: 18.80 Celsius
Humidity: 50.50 %, Temp: 18.90 Celsius
Humidity: 50.50 %, Temp: 18.80 Celsius
Humidity: 50.50 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.90 Celsius
Humidity: 50.50 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.90 Celsius
Humidity: 50.50 %, Temp: 18.80 Celsius
Humidity: 50.50 %, Temp: 18.80 Celsius
Humidity: 50.50 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.80 Celsius
Humidity: 50.60 %, Temp: 18.80 Celsius
Humidity: 50.70 %, Temp: 18.80 Celsius
Humidity: 50.70 %, Temp: 18.80 Celsius
Humidity: 50.70 %, Temp: 18.80 Celsius
Humidity: 50.70 %, Temp: 18.80 Celsius
Humidity: 50.70 %, Temp: 18.80 Celsius
Humidity: 50.70 %, Temp: 18.80 Celsius
Humidity: 50.80 %, Temp: 18.80 Celsius
Humidity: 50.80 %, Temp: 18.80 Celsius
Humidity: 50.80 %, Temp: 18.80 Celsius
Humidity: 50.80 %, Temp: 18.80 Celsius
Humidity: 50.80 %, Temp: 18.80 Celsius
Humidity: 50.80 %, Temp: 18.80 Celsius
Humidity: 50.90 %, Temp: 18.80 Celsius
Humidity: 50.90 %, Temp: 18.70 Celsius
Humidity: 51.00 %, Temp: 18.80 Celsius
Humidity: 51.00 %, Temp: 18.70 Celsius
Humidity: 51.10 %, Temp: 18.70 Celsius
Humidity: 51.10 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.30 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.30 %, Temp: 18.70 Celsius
Humidity: 51.20 %, Temp: 18.70 Celsius
Humidity: 51.30 %, Temp: 18.70 Celsius
Humidity: 51.10 %, Temp: 18.60 Celsius
Humidity: 51.20 %, Temp: 18.60 Celsius
Humidity: 51.20 %, Temp: 18.60 Celsius
Humidity: 51.20 %, Temp: 18.60 Celsius
Humidity: 51.30 %, Temp: 18.60 Celsius
Humidity: 51.30 %, Temp: 18.60 Celsius
Humidity: 51.30 %, Temp: 18.60 Celsius
